english	chinese
I am curious.	我很好奇。
She loves children.	她愛孩子。
Why don't you talk to him?	你為甚麼不跟他講？
Take it easy.	放輕鬆。
Auckland is a city in New Zealand.	奥克兰是一座新西兰的城市。
Tom's bleeding.	汤姆在流血。
She asked a very good question.	她問了一個非常好的問題。
We want to learn some Japanese songs.	我们想学一些日文歌曲。
Why didn't you turn up on Saturday?	你為何週六沒來？
Can you give me a discount?	能给我打个折么？
Flowers bloom.	鮮花盛開。
This is an exception to the rule.	这是一个例外。
She felt insecure about her future.	她對她的未來感到沒有安全感。
Could you please repeat that?	你能重复一遍吗？
The deadline is approaching.	期限近了。
He entered the army.	他加入了陸軍。
We had a good conversation.	我们谈得不错。
I'm glad you came over.	我很高兴你回来了。
He received quite a few letters this morning.	今天早上他收到好多信。
Where do you want to go?	你們要去哪裡？
I need more time.	我需要更多时间。
You guys are totally clueless.	你们这些家伙真不懂事。
Tom put a lot of honey on his toast.	汤姆往他的面包片上放了许多蜂蜜。
I saw more than Tom knows.	我看的比Tom知道得多。
I think I've done enough.	我認為我做得夠了。
I feel like crying.	我想哭。
Do you want to eat something else?	你想吃點別的嗎？
My father is in the garden.	我爸爸在花园里。
The camera will cost at least $500.	這台相機至少要花費500美元。
The children haven't studied division yet.	孩子們還沒上過除法。
Tom is a friend of mine.	湯姆是我朋友中的其中一位。
Tom had to remind Mary to feed the dog.	汤姆必须提醒玛丽喂狗。
Tom and Mary have a very good relationship.	汤姆和玛丽关系很好。
Raspberries are very expensive.	覆盆子很貴。
You're so beautiful!	你太漂亮了！
Why learn French?	為什麼要學法語呢？
I tried to contact Tom.	我試著聯絡湯姆。
A new difficulty has arisen.	出现了新困难。
If you enjoy the work you do, you have something worth more than money.	如果你喜歡你做的工作，你就有比金錢更有價值的東西。
Tom doesn't know how to have fun.	汤姆不知道怎样玩得开心。
That's not a cat. It's a dog.	那不是猫。那是狗。
We've lost them.	我們把他們跟丟了。
Tom said that he was curious.	汤姆说他很好奇。
The rumor turned out to be true.	這個傳聞後來被證明是真的了。
What is the matter with you?	你到底怎么回事嘛
Are you sad?	你在难过吗？
She read an amusing story to the children.	她给孩子们读了个有趣的故事。
This won't help you.	這幫不了你。
My aunt brought me some flowers.	我阿姨給我帶來了一些花。
I like playing tennis.	我喜欢打网球。
Drive on.	往前开。
There are two zeros in the number "2010."	2010这个数字里有两个零。
Tom plays chess very well.	汤姆下棋下得很好。
I prefer to remain seated.	我更想繼續坐著。
I'm used to staying up late at night.	我习惯晚睡。
One more bottle of wine, please.	麻煩再來一瓶葡萄酒。
Strange to say, he didn't know the news.	说来奇怪，他不知道这个消息。
This city is cold and lonely without you.	没有你这个城市孤单又冷清。
Some people shouldn't be forgiven.	有些人不应该原谅。
An ugly man knocked on my door.	一个丑男人敲了我的门。
She taught me how to write a poem.	她教我如何写诗。
I like the cold.	我喜歡寒冷。
What a pity!	真是太可惜了！
I can't find my wallet.	我找不到我的錢包了。
Please tell me your name.	請告訴我你的名字。
I'll study your report.	我會研究你的報告。
When was the last time that you watered the garden?	你最后一次给花园浇水在什么时候？
Tom has made a big mistake.	汤姆犯了个大失误。
You're very smart.	你很聪明。
There is only one book on the desk.	桌子上只有一本书。
I'm going to stop trying to be friendly with you.	我不跟你要好了。
I will let you know in advance.	我会让你提前知道。
I wanted to cry.	我想哭。
I want to ask what his phone number is.	我想问他的电话号码是多少。
Do you know the meaning of this word?	您知道这个词的意思吗？
I've deleted the app.	我删除了这个应用。
I come from a family of doctors.	我來自醫師家庭。
It would be helpful if you could do that for me.	您那样做的话，可就帮到我了。
Lie still.	躺着不动。
You're still young.	你还年轻。
She is walking.	她在行走。
They're digging a hole.	他們正在挖一個洞。
Leaves are falling.	葉子正在落下來。
I want to talk to him.	我想跟他說話。
His mother is an English teacher.	他的母親是一位英語教師。
I would like to speak English fluently.	我想講一口流利的英語。
I heard the telephone ringing.	我听到电话响了。
Who else knows about it?	還有誰知道它？
The phone rang.	電話正在響。
He is my youngest brother.	他是我最年轻的兄弟。
I wonder why he did that.	我不知道他為什麼那樣做？
Do you have any pencils?	你有鉛筆嗎？
Could you help me translate this into French?	你能帮我把这译成法语吗？
If for some reason I'm late, please don't wait for me.	万一我来晚的话，就别等我了。
I made her angry.	我讓她生氣。
Please do that.	請這樣做。
Tom won't likely sleep very well tonight.	湯姆今晚可能沒法睡個好覺。
He turned a deaf ear to their request.	他对他们的请求置若罔闻。
I don't use taxis unless it's absolutely necessary.	如无必要我也不会打的。
We have a really good cook.	我们有一位非常好的厨师。
I think I'm going to cry.	我可要哭了。
Where did you guys go?	你们这些家伙去哪儿了？
Where did it come from?	它从哪里来？
I also heard a similar story.	我也听过一个类似的故事。
He caught a cold.	他感冒了。
I think I know why Tom did that.	我應該知道湯姆那麼做的原因。
I don't want it.	我不要.
I don't know where he comes from.	我不知道他從哪裡來。
There aren't that many synagogues in this city.	这座城犹太教堂不怎么多。
Listen carefully.	仔细听着。
I didn't mean to do that.	我不是故意那樣做。
It is hard to see the sights of Tokyo in a few days.	要看东京的景物只花几天时间是很难的。
We'll eat lunch together at 12:30.	我们中午十二点半要一起吃午饭。
You had better go at once.	你最好馬上走。
Everyone was drunk.	所有人都喝醉了。
You've got company.	你已经有人陪伴了。
They are talking in the kitchen.	他們正在廚房裡說話。
Don't throw away this magazine.	不要丟掉這本雜誌。
I'll go shopping tomorrow.	我明天要去购物。
I'll be at home all day tomorrow.	明天我一整天都在家。
Three cubed is twenty-seven.	三的立方是二十七。
I've just published a new post on my blog.	我剛在我的博客上發表了一個新帖子。
I prefer tea to coffee.	我喜歡茶勝過咖啡。
She took care of the children.	她照顧孩子。
Can I turn off the TV?	我能关电视吗？
I'm good at soccer.	我擅長足球。
This isn't true love.	這不是真實的愛情。
Good morning.	早上好！
He has just published an interesting series of articles.	他刚发表一系列有趣的文章。
My father goes jogging every morning.	我父親每天早上去慢跑。
Since he has ambitions, he works hard.	因為他有野心，他很努力地工作。
Maybe I'll see you later.	可能不久会见你
Suppose you had a thousand dollars, what would you do with it?	假如你有1000美元，你会用它做什么呢？
She accused me of telling a lie.	她指責我說謊。
How about dining out tonight?	我们今晚出去吃怎么样？
Europe has a smaller population than Asia.	欧洲的人口比亚洲少。
Tom turned down my request.	汤姆拒绝了我的请求。
He's a biologist.	他是一个生物学家。
He survived an accident last year, but still drives recklessly.	他去年在事故中幸存了，可是他仍然很魯莽地開車。
We'll deal with it tomorrow.	我們明天處理它。
It's late.	很晚了。
I've lost my key.	我钥匙丢了。
I don't think that this is a good idea.	我觉得这主意不行。
He made the best of the opportunity.	他善用了這個機會。
Ignorance is bliss.	無知就是幸福。
It'll rain soon.	天快要下雨了。
Tom wanted this to be a surprise.	湯姆想留它作驚喜。
I promised Tom I wouldn't say anything.	我对汤姆发誓我不会说任何话了。
That's a little hard to believe.	那有点难以置信。
What's it made of?	这是什么做的？
Would you mind explaining this?	你願意解釋嗎？
Zimbabwe was once a colony of Britain.	津巴布韋曾經是英國的殖民地。
I don't want to look stupid.	我不想看起來傻。
We do the best we can.	我们尽我们所能。
Why didn't you bring your hat today?	为什么你今天没有把帽子带来？
Show me your passport, please.	请把您的护照给我看一下。
I think we should be able to go wherever we want to.	我認為我們應該能去我們想去的地方。
I spilled my coffee on the carpet.	我把咖啡倒翻在地毯上了。
I know Tom may have to do that.	我知道湯姆可能不得不這麼做。
Their house is being remodeled.	他們的房子正在裝潢。
This desk is designed for children.	這張書桌是專門為兒童設計的。
He was mad because he was not invited.	他因为没有被邀请而气得快疯了。
It's a nice day, isn't it?	美丽的一天，不是吗？
We've got plenty of time.	我們有充足的時間。
Give me an apple.	給我一個蘋果。
How long do you plan on staying?	你准备待多久？
Your pen is better than mine.	你的笔比我的好。
I thought that Tom and Mary were crazy.	我本以为汤姆和玛丽疯了呢。
My son is playing in the rain.	我儿子在雨里玩。
He read a book written in English.	他讀了一本用英文寫的書。
It is not a watch.	這不是手錶。
You don't need to worry about such a thing.	你不必擔心這樣的事情。
Since my mother was sick, I stayed home from school.	既然母亲病了，我就待在家里没去上学。
You can't be a blood donor.	你不能成为献血者。
When are you going home?	你什麼時候回家？
I heard someone come in.	我聽到有人進來了。
Really?	你确定？
The weather turned better.	天氣轉好了。
Animals are afraid of fire.	动物怕火。
He has spent ten years in jail for murder.	他因為謀殺案在牢裡待了十年。
She is not afraid of anything.	她不害怕任何東西。
Take mine.	拿我的。
I'm scared of dogs.	我怕狗。
You can use the hotel's swimming pool.	你可以使用旅馆的游泳池。
Quite a few Americans like sushi.	不少的美國人喜歡壽司。
They were good.	他們不錯。
Christmas is almost here.	聖誕節快到了。
The sky cleared up soon after the storm.	风暴之后不久,天空就晴朗起来了。
Give him an inch and he'll take a yard.	得寸进尺。
We love Tom.	我們愛湯姆。
I don't belong to any club.	我不屬於任何社團。
Tom had a heat stroke.	汤姆中暑了。
How often do you buy flowers?	你多久买一次花？
I'm not married.	我单身。
You can reach the park by either road.	哪条路都可以去公园哦。
This is not true.	这不是真的。
I'll take your suitcase to your room.	我會把你的手提箱拿到你的房間。
The cause of the fire was unknown.	火災的原因不明。
I dare say he is right.	我敢说他是对的。
She is very pretty.	她很可爱。
Women are not permitted to drive cars in Saudi Arabia.	在沙烏地阿拉伯，女性不允許駕駛汽車。
That won't make any difference.	这没有任何区别。
I really have to go.	我真的得走了。
Tom runs fast.	汤姆跑得快。
How much did you bid?	你出價多少？
You don't have to work on Sundays.	星期天的時候，你不用工作。
One of my bags is missing.	我的一個包包不見了。
I'll pay.	我來付錢。
Feel this. It's really soft.	来摸摸这个感觉一下。真的很柔软啊。
They waited for their teacher.	他們等待著他們的老師。
She showed me her album.	她給我看她的相簿。
A penny saved is a penny earned.	省下了一分錢，就等於賺了一分錢。
You may choose whichever you want.	你可以選擇任何你想要的。
Tom is nothing but trouble.	湯姆就是個麻煩。
It looks like today will be a long day.	看来今天会是漫长的一天啊。
I thought it would be worse.	我觉得会更糟。
This school supplies students with textbooks.	这所学校为学生提供教科书。
People have been buying me drinks all night.	人們整晚都在給我買飲料。
I want some ice cream.	我想吃冰淇淋了。
It seems that no one knew the truth.	貌似没有人知道真相。
It won't take so long.	它不會花很長的時間。
He asked me why I was laughing.	他問我為什麼在笑。
Tom is very upset with Mary.	湯姆非常生瑪莉的氣。
Whose is that notebook?	這臺筆記本電腦是誰的？
We've got too much work to do.	我們要做的工作太多了。
How far do you want to go?	你要走多遠？
You are good.	你很好。
She's as busy as Tom.	她和湯姆一樣忙。
When to start is the main problem.	主要問題是什麼時候開始。
It may freeze next week.	下周可能会结冰。
You need protection.	你需要保護。
Tom joined our company three years ago.	湯姆三年前進了我們公司。
His sad story touched my heart.	他悲伤的故事触动了我的心。
It can be done in a day.	它可以在一天之內完成。
A man must work.	男人应该工作。
Get up early in the morning.	早上要早起。
He has been to Hokkaido.	他曾去過北海道。
Which is your book?	哪本是你們的書？
Who baked this cake?	這蛋糕是誰做的？
I don't want to hear any more of your complaining.	我不想再听你抱怨了。
Bread is made from wheat.	麵包是用小麥做成的。
I like that person.	我喜欢那个人。
Next time you come to see me, I will show you the book.	下次你來看我的時候，我會給你看那本書。
People love to talk.	人們就是愛說話。
We had a late lunch at two.	我們在兩點鐘很晚才吃午餐。
I don't want to go there again.	我不想再次去那儿。
It is a pity that you cannot come to the party.	很遗憾您不能来派对。
I should've gone to bed earlier last night.	我昨晚应该早点睡觉的。
The car he's driving is not his.	這輛他正在開的車不是他的。
She hugged him.	她抱了他。
Good night.	晚安。
Would you mind closing the window?	你介意我關窗戶嗎？
How was your exam?	考得如何？
It looks good.	看起来不错。
I didn't want to surprise you.	我没想吓唬你。
You can eat whatever you like.	你可以吃你喜歡的東西。
The experiment was successful.	這實驗是成功的。
Have you done it?	你做吗?
He cut down a tree in his garden.	他砍了花园里的一棵树。
Nobody can help me.	没有人能帮我。
Have you ever loved a man?	你曾經愛過一個男人嗎？
Beethoven went over to the piano, sat down and began to play.	贝多芬走向钢琴，坐下来并开始弹。
This work must be finished by Monday.	這項工作必須在週一​​前完成。
There are many hungry people in the world.	世界上许多人很饥饿。
He sipped the hot coffee slowly.	他慢慢地啜飲熱咖啡。
I don't want Tom to die.	我不想让汤姆死。
Your question has no answer.	你的问题没有答案。
I wasn't yelling.	我沒有在吼。
He went to Nagoya on business.	他到名古屋洽談業務。
I'm healthy.	我身体很好。
Furniture made of good materials sells well.	用优质材料做的家具卖得很好。
He likes math, but I don't.	他喜欢数学，但我不喜欢。
Many boys and girls were present.	许多男生和女生都出席了。
I read a book last night.	我昨晚讀書。
Tom began to learn French about three years ago.	汤姆大约三年前开始学法语。
Take care when you cross a busy road.	當你穿越交通繁忙的街道時要小心注意。
I owe everything to Tom.	我什么都欠汤姆的。
We will make the payment by bank transfer.	我们会用银行转帐付款。
Someone has walked off with my pencil.	有人偷走了我的鉛筆。
Germany was once an ally of Italy.	德国曾是意大利的同盟国。
I've already put Tom to work on it.	我已经让汤姆去做它了。
Be it ever so humble, there's no place like home.	金窝银窝不如自己的狗窝。
Please shut the door behind you.	請隨手關門。
Did you receive my letter?	你收到了我的信了嗎？
Where will you go for the vacation?	你要去哪裡度假?
I am a member of the tennis club.	我是网球俱乐部的会员。
Tom loves dogs.	汤姆喜欢狗。
She forced him to eat spinach.	她強迫他吃菠菜。
Give me a light, would you?	借個火，好嗎?
I got him to fix my bicycle.	我讓他修理了我的腳踏車。
Hey you! Please wait.	嘿，你！請稍候。
My plan is to spend the New Year's holiday in Australia.	我打算在澳大利亚过新年。
These paintings are beautiful.	這些畫很美。
I'm really scared of spiders.	我真怕蜘蛛。
Tom came over to my house for dinner yesterday.	汤姆昨天来我家吃晚饭。
It isn't something I'm very good at.	这不是我所擅长的事。
I don't go in for that sort of thing.	我讨厌那种事。
The war lasted nearly ten years.	這場戰爭持續了將近十年。
I think he is not home.	我觉得他不在家。
There wasn't any furniture in that room.	那個房間裡沒有任何傢俱。
She is absent because of sickness.	她不在是因为病了。
Please show me around.	請帶我到處看看。
I'm just a plain office worker.	我只是一個普通的上班族。
He can't be ill.	他不可能生病了。
Don't talk in the classroom.	別在教室裡說話。
I swapped a camera for a guitar.	我用一台照相機交換一把吉他。
It's monkey meat.	這是猴肉。
He failed to follow our advice.	他沒有遵循我們的忠告。
Anything new?	有什么新鲜事吗？
I have a new red car.	我有一輛新的紅色汽車。
What happened in the park?	公園裡發生了什麼？
The boat was piloted safely into harbor.	船被安全地领入港口。
I noticed a note on my desk, but I don't know who wrote it.	我發現了我辦公桌上有張字條, 但是我不知道是誰寫的。
Trade barriers were lifted after the war ended.	戰爭結束之後貿易障礙被解除。
My boat is small.	我的船是小的。
Stop reading.	别再念了。
I finished reading the book last night.	我昨晚看完了這本書。
I study at school.	我在学校读书。
Please let me go.	請讓我走。
You'll get into trouble if your girlfriend finds out the truth.	如果你女朋友发现真相的话，你会有麻烦的。
Tom is a very good tennis player.	湯姆是一個非常好的網球選手。
What happened to you?	你到底怎么回事啊？
I work every day except for Sundays.	除了星期天我每一天都工作。
Do you run?	你跑步嗎？
We'll kill Tom.	我們會殺死湯姆。
My house is old and ugly.	我的房子又舊又難看。
I fell in love with you.	我爱上了你。
The price isn't reasonable.	这个价格不合理。
He likes neither baseball nor football.	他既不喜欢棒球，又不喜欢足球。
We had a kid just last year.	就在去年我們有了一個孩子。
This is my friend.	這個是我的朋友。
It's a good start.	这是一个好的开端。
Be kind.	友善点。
Did you buy juice?	你有買果汁嗎？
Don't pry into my private life.	不要插手我的私生活。
Leave no stone unturned.	把这里翻个底朝天！
I can't find anything wrong with his theory.	我在他的理論中找不到任何問題。
He loves music.	他非常喜歡音樂。
Tom is a native speaker of French.	湯姆的母語是法語。
I think that I drank too much.	我想我喝得太多了。
Tom left his coat downstairs.	汤姆把他的大衣忘在楼下了。
Light the candle.	把蠟燭點燃。
The boy is full of promise.	这个男孩很有前途。
Do you still like me?	你还喜欢我吗？
She sells flowers.	她卖花。
It's not dinnertime yet.	现在还不是晚饭时间。
I have only five thousand yen.	我只有5000日元。
I caught a glimpse of Mt. Fuji from the window of the train.	我從火車車窗瞥見了富士山。
Tom has two siblings.	湯姆有兩個兄弟姊妹。
We went halfway up the mountain.	我們爬到了半山腰。
I will telephone you later on.	我晚点打给你。
You have beautiful eyes.	你的眼睛真漂亮。
I want you guys to do me a favor.	我想要大家伙帮我个忙。
Did you go out last night?	你昨天晚上出去了嗎？
It isn't at all easy.	这一点都不容易。
Tom likes sitting on the floor.	汤姆喜欢坐在地上。
That's a pencil.	那是一支铅笔。
Tom and Mary both speak French.	汤姆和玛丽两个人都会说法语。
Tears filled her eyes.	她热泪盈眶。
She always wears black.	她總是穿著黑色的衣服。
You are a good cook, aren't you?	你很會做菜，不是嗎?
I find it much easier to speak French than English.	對我來說法語比英語說起來簡單得多。
This is my fault.	这是我的错。
She took a taxi to the hospital.	她搭計程車去醫院了。
"Why aren't you going?" "Because I don't want to."	"你为什么不去？""因为我不想去。"
She is wearing the same dress that she had on yesterday.	她穿著跟昨天相同的衣服。
What does this key unlock?	这钥匙能打开什么？
Tom often fails to keep his word.	汤姆经常不守约。
I want a book.	我要一本書。
Ask her when she comes back.	等她回来的时候问问她。
I'll be there in a minute.	我马上就到了。
Tom couldn't see anyone.	汤姆看不到任何人。
My mother is making a cake.	我的母親在做蛋糕。
Do you know Tom well?	你很了解汤姆吗？
She carried that habit to her grave.	她到死都改不了那個習慣。
Who were you speaking with?	你和谁说话呢？
Everyone loves that place.	每一個人都喜歡那個地方。
This drink is on the house.	這種飲料是免費招待的。
Tom knows exactly how I like my hair done.	汤姆很清楚我喜欢什么样的发型。
Their apples aren't as good as our apples.	他們的蘋果沒有我們的好。
We were in danger of losing our lives.	我們險些丟了命。
Everything is relative.	一切事物皆是相對的。
Tom was arrested for driving without a license.	汤姆因无证驾驶而被逮捕。
It's safe to say so.	這麼說是安全的。
Come on. I want to show you something.	来吧。我想让你看点东西。
Let's take a rest.	我们休息一下吧。
Has anything changed?	有任何事情改變了嗎？
We went to Boston.	我们去了波士顿。
Oranges have a lot of vitamin C.	柳橙富含維他命 C。
They can wait.	他们等得了。
He sometimes goes to work by car.	他有時開車去上班。
They were not listening to music.	他們沒在聽音樂。
I had a good time this evening.	今天晚上我玩得很開心。
Tom doesn't like football.	汤姆不喜欢足球。
I sometimes just don't want to get out of bed in the morning.	我有时早上不想下床。
She wouldn't let us help her.	她没有让我们帮忙。
Let's drive to the lake.	讓我們開車到湖邊。
We bought a pound of tea.	我們買了一磅的茶。
There's nothing to prevent you from going.	没什么能阻止你出发了。
Perseverance, as you know, is the key to success.	就像你们知道的那样，毅力是成功的关键。
I expected you to stay three months.	我以為你會待三個月。
Because of heavy snow, the plane from Beijing arrived 20 minutes late.	由於下大雪，從北京来的班機延遲二十分鐘。
They have jobs.	他們有工作。
I want you to sleep on it.	我想要你睡在它上边。
Nothing's as important as peace.	没有什么和和平一样重要。
This pamphlet is free of charge.	這本小冊子是免費的。
Do you like music?	你爱音乐吗？
I have not seen him for a long time.	我很久没见过他了。
When I hear this song, I think of you, and miss you.	當我聽到這首歌，我想起了你，並想念著你。
Tom looked like he was certain.	汤姆看起来很肯定。
Give us two knives and four forks, please.	请给我们两把刀和四把叉。
You should drink a lot of liquid.	你應該喝大量的液體。
I didn't want to mislead anyone.	我不想誤導任何人。
Many moons orbit around Saturn.	許多衛星繞著土星運行。
I thought you were my friend.	我以为你是我的朋友。
I work in this building.	我在这栋楼里工作。
Mary looks like her mother.	瑪麗長得像她媽媽。
He hurt his left foot when he fell.	當他跌倒時，他傷了他的左腳。
I'm sad.	我很难过。
You shouldn't go out.	你不應該出門。
You won't be punished.	您不会受罚。
He was very old.	他很老。
Can you read?	你能閱讀嗎？
I haven't found anything.	我甚麼也沒找到。
That's not the problem.	不是这个问题。
It's not far from here to there.	离这里不远。
I like singing with Tom.	我喜欢跟汤姆唱歌。
It looks like the dog wants something to eat.	那隻狗看起來好像想吃東西。
Have a nice flight.	飞行愉快！
Tom didn't talk to Mary.	汤姆没跟玛丽说话。
Who else uses this room?	还有谁用这个房间？
This book costs 20 dollars.	这本书二十美元。
Tom has a guide dog named Cookie.	湯姆有一隻導盲犬，名叫曲奇。
I am thinking of going abroad next year.	我在考虑明年去国外。
I admit it's strange.	我承認這很奇怪。
Tom often goes cross-country skiing.	汤姆经常去越野滑雪。
Tom wants to go to Japan.	湯姆想去日本。
Go outside and play now.	現在出去玩吧。
We'll cook some meat.	我們會煮一些肉。
I don't even know if Tom went to college or not.	我連湯姆有沒有上過大學也不知道。
The Rhine flows between France and Germany.	萊茵河流經法國和德國國界。
The baby smiled at me.	宝宝对我笑了。
Let's go!	我們走吧!
He is bound to succeed.	他一定会成功。
Fight like a man!	像男人一样战斗！
My father is sweeping the garage.	我父親正在清掃車庫。
Mt. Fuji was covered with snow.	富士山被雪所覆蓋。
How is everyone?	大家好嗎？
Is this tofu?	这是不是豆腐？
Is your headache gone?	你的头痛治好了？
We don't think so.	我们不这样认为。
Are you guys free this afternoon?	你们今天下午有空吗？
People should get more involved.	人们需要更多的交流。
Tom practiced in front of the mirror.	湯姆對著鏡子練習。
He is an aggressive person.	他是个咄咄逼人的的人。
Don't worry. You'll make it.	不要擔心。你辦得到的。
She tried to kill herself.	她企圖自殺。
The early bird gets the worm.	早起的鸟儿有虫吃。
Please leave right away.	請馬上離開。
Tom likes me the most.	Tom 最喜欢我。
Tom won't be here all morning.	汤姆不会整个早上都在这。
This is Room 839.	这是839号房间。
Please don't interrupt me.	请不要打断我。
In Japan, the new school year begins in April.	日本的新學年在四月開始。
A strange feeling came over me.	我有種奇怪的感覺。
I have lost my watch.	我把我的表丢了。
I don't know if Tom can help us.	我不知道湯姆能不能幚我們。
I'm nervous and scared.	我既紧张又害怕。
Please give me a minute to explain.	请给我些时间来解释。
Isn't it obvious?	那不是明摆着的吗？
The garden was surrounded by a wooden fence.	花园被木栅栏围了起来。
I need to get a stamp.	我需要一張郵票。
What're you watching?	你在看什么？
I'm sorry. I got the wrong number.	對不起，我拿錯了號碼。
I think that would be fun.	我認爲那會很有意思。
The shooting started around noon.	拍攝是在中午十二時左右開始。
He returned at six.	他六点回来了。
Would you like to know how to prevent getting wrinkles?	你想要知道如何避免皺紋嗎？
Mom is getting dinner ready.	媽媽快把晚餐準備好了。
He made no mention of her request.	他沒有提到她的請求。
She came into the room.	她进了房间。
Have you decided on a name for your baby?	小寶寶的名字決定好了嗎？
How do I get out of this mess?	我怎麼才能擺脫這種困境？
She went to the hospital by taxi.	她搭計程車去醫院了。
The lights are out.	灯已关了。
Where's the volume control?	音量調節在哪裡？
Tom realized that he had lost his wallet.	湯姆意識到他丢了錢包。
Besides the piano, can you play any other instruments?	除了钢琴以外，还会玩什么乐器吗？
How unlucky I am!	我真的很倒霉！
I think you're a really nice guy.	我認為你真的是一個好人。
Do you weigh more than Tom?	你有比湯姆重嗎?
Tom can swim faster than anyone else I know.	汤姆是我认识的人当中游泳最快的。
These must be fake.	這一定是假的。
What you're saying doesn't make sense.	你说的没有意义。
Tom, answer me!	湯姆，回答我！
Can anyone answer my question?	有人可以回答我的問題嗎？
I will provide you all the necessary information.	我会把所有有用的信息提供给您的。
Someday I'll buy a cotton candy machine.	有一天我买了一台棉花糖机。
Just water, please.	請給我水就好了。
Tom is used to cooking on a campfire.	湯姆習慣用營火做菜。
I want to study mathematics.	我想学数学。
I managed to repair my car by myself.	我自己搞定，修好了我的车。
The traveler was delighted at the sight of a light in the distance.	发现了远处的灯光的旅行者欢喜不已。
Do we know you?	我们认识你么？
He is rather hard to please.	取悅他很難。
She waved at me before she got on board the plane.	她上飞机前，给我招了招手。
All of us went to the theater to see a play.	我們所有的人都去劇院看戲。
I've no way of telling whether or not what he says is true.	我无法判断他的话是真是假。
Are you going home?	你在回家吗？
Who's the man playing the piano?	那個正在彈鋼琴的男人是誰?
Life begins when we realize who we really are.	当我们明白真正的自己时，生活开始了。
No problem at all!	什么问题都没有！
What languages are you good at speaking?	你擅長說哪種語言？
Tom worries a lot about money.	汤姆很担心钱的问题。
I don't think anyone can do this.	我认为没人能做到。
We had some chicken soup.	我們喝了些雞湯。
Tom began to sing "Happy Birthday" and the entire restaurant joined in.	汤姆开始唱“祝你生日快乐”，然后整个餐厅的人都加入了进来。
Why should anyone be surprised?	为什么任何人应该感到惊喜？
All our efforts were in vain.	我们所有的努力都白费了。
We're all looking forward to seeing you and your family.	我们都期待看到你和你的家人。
Will you be able to do that for us?	你能為我們做嗎？
She goes to aerobics once a week.	她每星期去作一次健美操。
Tom said that he thought that Mary was unhappy in Boston.	湯姆說他以為瑪麗在波士頓不快樂。
I don't play basketball.	我不打篮球。
She told me an interesting story.	她给我讲了一个有趣的故事。
Let's go as soon as it stops raining.	只要雨一停我们就走。
Tom might be a vegetarian.	湯姆可能是素食者。
Dice the apple.	將蘋果切丁。
It is time he went to school.	他該去上學了。
He made a journey around the world.	他環遊世界旅行。
Sorry, can I borrow it for a minute?	不好意思，可以借過一下嗎？
I take full responsibility for the action.	我會為這次行動負起全責。
I want a little money.	我想要点钱。
I'm just kidding.	我开玩笑。
Tom has something else to say.	湯姆還有想說的事。
My sister got married in her teens.	我妹妹在她十幾歲時就結婚。
I need to go to sleep.	我必须睡了。
His speech was short and to the point.	他的演讲简短且切中要害。
Tom should have handled the situation differently.	汤姆应该用别的方式处理这状况。
Tom fed his leftovers to his dog.	湯姆把他的廚餘餵給他的狗吃。
He likes sleeping.	他喜欢睡觉。
To my surprise, he was good at singing.	让我出乎意料的是，他居然很会唱歌。
Tom is always watching television.	湯姆總是在看電視。
Those pictures were painted by him.	那些圖畫是他畫的。
You should've come earlier.	你應該早點來的。
I get along with my younger brother.	我與我的弟弟相處融洽。
You don't have to eat it.	你不必吃。
How do you want this handled?	你想怎麼處理？
I'm glad we agree.	我很高兴我们同意。
I have a lot of sheep.	我有很多綿羊。
She said to herself, "I am very happy."	她对自己说：“我很幸福”。
How much do you love me?	你有多爱我？
It took months.	它花了几个月。
How high should a home fence be?	住宅圍欄應該多高？
It is no use worrying about it.	擔心它是沒有用的。
Tom is in the house.	湯姆在家裡。
Let me try it.	让我试试。
I'm content with my job.	我對我的工作感到滿意。
I've just eaten lunch.	我剛吃過午飯。
Tom will be sentenced next Monday.	汤姆下个星期一会被判决。
The house was in flames.	房子被火吞噬了。
He is doing very well considering he lacks experience.	考虑到他缺乏经验，他做得[已经]非常好了。
I'd like you to have a blood test.	我希望你做血液檢查。
Please be careful when crossing the street.	过马路时请小心。
I'd like to listen to pop music.	我想要聽流行音樂。
I remember hearing that music somewhere.	我记得在哪儿听到过那首音乐。
I often use SSH to access my computers remotely.	我经常使用SSH来远程连接到我的电脑。
In March, many flowers come out.	許多花在三月份綻放。
You look just like your big brother.	你和你哥哥长得一模一样。
Is it really worth it?	这真的值得吗？
I got on the wrong train.	我上錯了火車。
We were all pretty shocked.	我们都很震惊。
I'm very tired, but I can't get to sleep.	我很累，但我还是没办法入睡。
Tom seems to have a cold.	湯姆看來感冒了。
She accompanied me on the piano.	她为我作钢琴伴奏。
Where does she want to go?	她想去哪裡?
We have a problem here.	我们现在有了麻烦。
Tom told me that he didn't want to go with us.	湯姆告訴我他不想跟我們走。
It's a pleasure to have you with us again.	真高兴你又跟我们在一起了。
Your nose is bleeding.	您流鼻血了。
It seems that something has happened.	似乎发生了什么事。
I know what you mean.	我知道你的意思。
I've got a frog in my throat.	我的喉嚨裡有一隻青蛙。
You always wear a ponytail. Why not try pigtails every now and then?	你總是綁馬尾辮，為什麼不偶爾試試雙馬尾呢？
He likes to build model planes.	他喜歡建造模型飛機。
We should've stayed at home.	我們本來應該留在家裡的。
I had a good dream last night.	昨晚，我做了个好梦。
Tom got a late start this morning.	汤姆今早出发晚了。
